Virksomhedsnr.;Hvordan ser du mulighederne for at låne penge til din virksomhed? (fiktivt spørgsmål);Antal ansatte Cvr-nr.;Etableringsdato;Branchekode primær;Branchebetegnelse primær;Overført resultat 2021 (1.000 kr);Overført resultat 2020 (1.000 kr);Overført resultat 2019 (1.000 kr);Overført resultat 2018 (1.000 kr);Overført resultat 2017 (1.000 kr);Overført resultat 2016 (1.000 kr);Likvider 2021 (1.000 kr);Likvider 2020 (1.000 kr);Likvider 2019 (1.000 kr);Likvider 2018 (1.000 kr);Likvider 2017 (1.000 kr);Likvider 2016 (1.000 kr);Egenkapital 2021 (1.000 kr);Egenkapital 2020 (1.000 kr);Egenkapital 2019 (1.000 kr);Egenkapital 2018 (1.000 kr);Egenkapital 2017 (1.000 kr);Egenkapital 2016 (1.000 kr);Langfristet gæld 2021 (1.000 kr);Langfristet gæld 2020 (1.000 kr);Langfristet gæld 2019 (1.000 kr);Langfristet gæld 2018 (1.000 kr);Langfristet gæld 2017 (1.000 kr);Langfristet gæld 2016 (1.000 kr);Kortfristet gæld 2021 (1.000 kr);Kortfristet gæld 2020 (1.000 kr);Kortfristet gæld 2019 (1.000 kr);Kortfristet gæld 2018 (1.000 kr);Kortfristet gæld 2017 (1.000 kr);Kortfristet gæld 2016 (1.000 kr);Balance 2021 (1.000 kr);Balance 2020 (1.000 kr);Balance 2019 (1.000 kr);Balance 2018 (1.000 kr);Balance 2017 (1.000 kr);Balance 2016 (1.000 kr);Afkastningsgrad 2021 (%);Afkastningsgrad 2020 (%);Afkastningsgrad 2019 (%);Afkastningsgrad 2018 (%);Afkastningsgrad 2017 (%);Afkastningsgrad 2016 (%);Likviditetsgrad 2021 (%);Likviditetsgrad 2020 (%);Likviditetsgrad 2019 (%);Likviditetsgrad 2018 (%);Likviditetsgrad 2017 (%);Likviditetsgrad 2016 (%);Soliditetsgrad 2021 (%);Soliditetsgrad 2020 (%);Soliditetsgrad 2019 (%);Soliditetsgrad 2018 (%);Soliditetsgrad 2017 (%);Soliditetsgrad 2016 (%);Egenkapital forrentning 2021 (%);Egenkapital forrentning 2020 (%);Egenkapital forrentning 2019 (%);Egenkapital forrentning 2018 (%);Egenkapital forrentning 2017 (%);Egenkapital forrentning 2016 (%)
4472; Gode;4018;01-07-1973;324000;Fremstilling af spil og legetøj;;5984000;6664000;7570312;7477858;7036195;;500000;371000;673456;451177;528147;;14201000;14296000;14720840;14086293;15086195;;1151000;1306000;169306;202575;213348;;17150000;12767000;13439570;12328176;10587919;;32607000;28466000;28406272;26833847;26071731;;29,09;30,09;32,15;32,12;43,6;;165,21;189,75;189,69;193,6;215,99;;43,55;50,22;51,82;52,49;57,86;;51,31;45,96;48,9;48,67;60
4465; Gode;3944;01-07-1992;842500;Brandvæsen;;2352000;2408000;2232000;2141000;3280000;;272000;56000;78000;558000;196000;;2510000;2460000;2320000;2229000;3368000;;793000;863000;4236000;4909000;2744000;;6169000;7823000;4619000;2813000;5394000;;9573000;11203000;11242000;10063000;11506000;;2,7;-3,45;-0,13;-1,26;2,27;;27,52;32,38;48,69;72,31;74,21;;26,22;21,96;20,64;22,15;29,27;;2,87;7,15;3,92;;18,17
4473; Gode;2810;25-09-1961;281400;Fremstilling af andre haner og ventiler;;;;;;;;4119821;618773;186643;;;;22532595;21589970;21546010;22084000;20662000;;8678396;7947137;7234263;7322000;6861000;;9347681;7798035;7092415;11052000;11381000;;40558671;37335141;36484876;41097000;39264000;;1,58;1,36;1,33;1,59;1,29;;85,84;115,68;160;105,19;96,17;;55,56;57,83;59,05;53,74;52,62;;1,75;5,15;8,97;10,46;13,18
4446; Gode;2678;04-03-1971;711210;Rådgivende ingeniørvirksomhed inden for byggeri og anlægsarbejder;;548018;509977;383867;290281;236567;;10401;24968;23323;8583;8741;;583018;544977;418867;425281;401567;;185354;70645;4167;3178;4924;;1481354;1282974;1114457;930723;876504;;2448333;2075660;1746734;1603584;1474100;;5,01;7,03;6,2;11,76;14,92;;145,5;134,12;125,47;135,73;132,3;;23,81;26,26;23,98;26,52;27,24;;14,05;23,13;21,02;35,2;33,87
4470; Gode;2607;13-11-2000;201400;Fremstilling af andre organiske basiskemikalier;;10352000;10118000;11316000;13250000;12534000;;475000;141000;104000;130000;429000;;9891000;10318000;10362000;10621000;11864000;;3408000;2950000;1474000;1312000;1727000;;4622000;5824000;6283000;5941000;4086000;;18635000;19550000;18508000;18117000;18073000;;13,45;10,87;14;15,33;14,32;;69,1;52,25;51,66;64,25;83,38;;53,08;52,78;55,99;58,62;65,64;;26,41;29,76;26,22;28,44;31,06
4469; Gode;2476;16-10-1999;501000;Sø- og kysttransport af passagerer;;7808000;7440000;6604400;3458200;3157800;;735000;656000;580600;937600;603100;;9383000;9341000;8416700;4961500;4750300;;3093000;3068000;1765000;2408700;2219600;;4760000;4688000;3705500;4225200;4684200;;17236000;17097000;13887200;11625600;11699300;;0,61;6,53;8,62;11,44;11,2;;59,68;82,12;74,05;68,48;45,71;;54,44;54,64;60,61;42,68;40,6;;1,5;11,23;30,15;37,86;32,45
4474; Gode;2161;01-09-1986;721900;Anden forskning og eksperimentel udvikling inden for naturvidenskab og teknik;;23750903;13809386;14587978;16525781;17851920;;17058413;17815674;18477608;21329354;24791854;;32964231;23030564;21755050;21887909;22545487;;4662435;4080894;4218121;3716253;3689397;;46587167;64928732;39553279;43656659;52811930;;88333432;97560959;70274634;73714365;82922168;;1,73;3,72;7,23;9,19;10,96;;105,62;102,38;105,38;109,83;110,66;;37,32;23,61;30,96;29,69;27,19;;16,96;22,16;22,92;29,81;31,51
4433; Gode;2136;23-08-1957;281300;Fremstilling af andre pumper og kompressorer;;798126;820298;845693;1099087;927355;;292;450;0;2;0;;1238756;1275650;1505883;1323188;1456885;;105660;36514;;;;;553149;562574;473378;725998;749877;;1937396;1915297;2016087;2096942;2251300;;8,75;10,01;8,91;8,6;8,03;;78,71;66,57;89,3;61,59;56,09;;63,94;66,6;74,69;63,1;64,71;;13,01;14,48;11,8;11,7;11,07
4471; Gode;1727;29-06-2004;281110;Fremstilling af vindmøller og dele hertil;;7302632;7265103;7186930;7556845;6390084;;;0;186327;167338;12566;;7502514;10395106;10310396;10625648;10525395;;33796;26031;;;;;11735284;8417759;5340098;4434206;17422572;;19491529;18909991;15650494;15059853;27947965;;0,01;0,84;0,32;1,37;1,49;;135,21;144,44;171,24;201,02;118,94;;38,49;54,97;65,88;70,56;37,66;;2,07;0,06;1,6;0,25;4,92
4405; Gode;1659;05-03-2010;331700;Reparation og vedligeholdelse af andre transportmidler;;802495;768583;738252;665240;594032;;;;;;;;830995;797083;766752;693740;622532;;0;27116;;;;;342483;342489;424735;420997;415446;;1184581;1188729;1205665;1140231;1083655;;3,17;3,84;8,52;6,7;10,2;;308,55;300,62;243,05;228,73;217,26;;70,15;67,05;63,6;60,84;57,45;;4,27;5,04;9,8;8,98;13,72
